datetime;latitude;longitude
1732530732670;47.100164;-1.599476
1732530732725;47.100164;-1.599476
1732530732780;47.100164;-1.599476
1732530732835;47.100164;-1.599476
1732530732890;47.100164;-1.599476
1732530732945;47.100164;-1.599476
1732530733000;47.100164;-1.599476
1732530733055;47.100164;-1.599476
1732530733110;47.100164;-1.599476
1732530733165;47.100164;-1.599476
1732530733220;47.100164;-1.599476
1732530733275;47.100164;-1.599476
1732530733330;47.100164;-1.599476
1732530733385;47.100164;-1.599476
1732530733440;47.100164;-1.599476
1732530733495;47.100164;-1.599476
1732530733550;47.100164;-1.599476
1732530733605;47.100164;-1.599475
1732530733660;47.100164;-1.599476
1732530733715;47.100164;-1.599476
1732530733770;47.100164;-1.599475
1732530733825;47.100164;-1.599475
1732530733880;47.100164;-1.599476
1732530733935;47.100164;-1.599476
1732530733990;47.100164;-1.599476
1732530734045;47.100164;-1.599476
1732530734100;47.100164;-1.599475
1732530734155;47.100164;-1.599475
1732530734210;47.100164;-1.599475
1732530734265;47.100164;-1.599476
1732530734320;47.100164;-1.599475
1732530734375;47.100164;-1.599475
1732530734430;47.100164;-1.599475
1732530734485;47.100164;-1.599475
1732530734540;47.100164;-1.599475
1732530734595;47.100164;-1.599475
1732530734650;47.100164;-1.599475
1732530734705;47.100164;-1.599475
1732530734760;47.100164;-1.599475
1732530734815;47.100164;-1.599475
1732530734870;47.100164;-1.599475
1732530734925;47.100164;-1.599475
1732530734980;47.100164;-1.599475
1732530735035;47.100165;-1.599476
1732530735090;47.100165;-1.599475
1732530735145;47.100165;-1.599476
1732530735200;47.100165;-1.599476
1732530735255;47.100165;-1.599476
1732530735310;47.100165;-1.599476
1732530735365;47.100165;-1.599476
1732530735420;47.100165;-1.599476
1732530735475;47.100165;-1.599476
1732530735530;47.100165;-1.599476
1732530735585;47.100165;-1.599475
1732530735640;47.100165;-1.599475
1732530735695;47.100165;-1.599475
1732530735750;47.100165;-1.599476
1732530735805;47.100165;-1.599475
1732530735860;47.100165;-1.599475
1732530735915;47.100165;-1.599476
1732530735970;47.100165;-1.599476
1732530736025;47.100165;-1.599476
1732530736080;47.100165;-1.599476
1732530736135;47.100165;-1.599476
1732530736190;47.100165;-1.599476
1732530736245;47.100165;-1.599476
1732530736300;47.100165;-1.599475
1732530736355;47.100165;-1.599475
1732530736410;47.100165;-1.599475
1732530736465;47.100166;-1.599475
1732530736520;47.100166;-1.599476
1732530736575;47.100166;-1.599476
1732530736630;47.100166;-1.599476
1732530736685;47.100166;-1.599476
1732530736740;47.100166;-1.599476
1732530736795;47.100166;-1.599476
1732530736850;47.100166;-1.599475
1732530736905;47.100166;-1.599476
1732530736960;47.100166;-1.599476
1732530737015;47.100166;-1.599476
1732530737070;47.100166;-1.599475
1732530737125;47.100166;-1.599475
1732530737180;47.100166;-1.599475
1732530737235;47.100166;-1.599475
1732530737290;47.100166;-1.599475
1732530737345;47.100166;-1.599475
1732530737400;47.100166;-1.599475
1732530737455;47.100167;-1.599476
1732530737510;47.100167;-1.599476
1732530737565;47.100167;-1.599476
1732530737620;47.100167;-1.599476
1732530737675;47.100167;-1.599476
1732530737730;47.100167;-1.599477
1732530737785;47.100167;-1.599477
1732530737840;47.100168;-1.599478
1732530737895;47.100168;-1.599478
1732530737950;47.100168;-1.599478
1732530738005;47.100168;-1.599478
1732530738060;47.100168;-1.599478
1732530738115;47.100168;-1.599478
1732530738170;47.100168;-1.599478
1732530738225;47.100168;-1.599478
1732530738280;47.100168;-1.599478
1732530738335;47.100168;-1.599478
1732530738390;47.100168;-1.599478
1732530738445;47.100168;-1.599478
1732530738500;47.100168;-1.599478
1732530738555;47.100168;-1.599478
1732530738610;47.100168;-1.599478
1732530738665;47.100168;-1.599478
1732530738720;47.100168;-1.599478
1732530738775;47.100168;-1.599478
1732530738830;47.100168;-1.599478
1732530738885;47.100168;-1.599478
1732530738940;47.100168;-1.599478
1732530738995;47.100168;-1.599477
1732530739050;47.100168;-1.599477
1732530739105;47.100168;-1.599477
1732530739160;47.100168;-1.599477
1732530739215;47.100168;-1.599477
1732530739270;47.100168;-1.599477
1732530739325;47.100168;-1.599477
1732530739380;47.100169;-1.599477
1732530739435;47.100169;-1.599477
1732530739490;47.100169;-1.599477
1732530739545;47.100169;-1.599477
1732530739600;47.100169;-1.599476
1732530739661;47.100169;-1.599477
1732530739722;47.100169;-1.599476
1732530739784;47.100169;-1.599476
1732530739845;47.100169;-1.599476
1732530739907;47.100169;-1.599476
1732530739968;47.100169;-1.599476
1732530740030;47.100168;-1.599476
1732530740091;47.100169;-1.599476
1732530740153;47.100169;-1.599476
1732530740214;47.100169;-1.599476
1732530740276;47.100169;-1.599476
1732530740337;47.100169;-1.599476
1732530740399;47.100169;-1.599476
1732530740460;47.100169;-1.599476
1732530740522;47.100169;-1.599476
1732530740583;47.100169;-1.599475
1732530740645;47.100169;-1.599475
1732530740694;47.100169;-1.599475
1732530740743;47.100169;-1.599475
1732530740792;47.100169;-1.599475
1732530740841;47.100169;-1.599475
1732530740891;47.100169;-1.599475
1732530740940;47.100169;-1.599475
1732530740989;47.100169;-1.599475
1732530741038;47.100169;-1.599475
1732530741087;47.100169;-1.599475
1732530741137;47.100169;-1.599475
1732530741186;47.100169;-1.599475
1732530741235;47.100169;-1.599475
1732530741284;47.100169;-1.599474
1732530741333;47.100169;-1.599474
1732530741383;47.100169;-1.599474
1732530741432;47.100169;-1.599474
1732530741481;47.100169;-1.599474
1732530741530;47.100169;-1.599474
1732530741580;47.100169;-1.599474
1732530741641;47.100169;-1.599474
1732530741702;47.100169;-1.599474
1732530741764;47.100169;-1.599474
1732530741825;47.100169;-1.599474
1732530741887;47.100169;-1.599473
1732530741948;47.100169;-1.599473
1732530742010;47.100169;-1.599473
1732530742071;47.100169;-1.599473
1732530742133;47.100169;-1.599473
1732530742194;47.100169;-1.599473
1732530742256;47.100169;-1.599473
1732530742317;47.100169;-1.599473
1732530742379;47.100169;-1.599473
1732530742440;47.100169;-1.599473
1732530742502;47.100169;-1.599473
1732530742563;47.100169;-1.599473
1732530742625;47.100169;-1.599473
1732530742677;47.100169;-1.599473
1732530742729;47.100170;-1.599473
1732530742781;47.100169;-1.599473
1732530742833;47.100169;-1.599473
1732530742885;47.100169;-1.599473
1732530742937;47.100169;-1.599473
1732530742989;47.100169;-1.599473
